,scores,cavity
1454,16.547000885009766,1
1455,16.547000885009766,1
1456,16.547000885009766,1
1476,16.547000885009766,1
1477,16.547000885009766,1
1478,16.547000885009766,1
1498,16.547000885009766,1
1499,16.547000885009766,1
1500,16.547000885009766,1
2040,15.428999900817871,1
2041,15.428999900817871,1
2042,15.428999900817871,1
2062,15.428999900817871,1
2063,15.428999900817871,1
2064,15.428999900817871,1
2086,15.454999923706055,1
2108,15.454999923706055,1
2114,16.547000885009766,1
2115,16.547000885009766,1
2116,16.547000885009766,1
2130,15.454999923706055,1
2136,16.547000885009766,1
2137,17.170000076293945,1
2138,17.170000076293945,1
2139,17.170000076293945,1
2158,16.547000885009766,1
2159,17.170000076293945,1
2160,17.170000076293945,1
2161,17.170000076293945,1
2181,17.170000076293945,1
2182,17.170000076293945,1
2183,17.170000076293945,1
2700,15.428999900817871,1
2701,15.428999900817871,1
2702,15.428999900817871,1
2722,15.428999900817871,1
2723,15.428999900817871,1
2724,15.428999900817871,1
2746,15.454999923706055,1
2765,17.55900001525879,1
2766,17.55900001525879,1
2767,17.55900001525879,1
2768,16.433000564575195,1
2774,16.547000885009766,1
2775,16.547000885009766,1
2776,16.547000885009766,1
2787,17.55900001525879,1
2788,17.55900001525879,1
2789,17.55900001525879,1
2790,16.433000564575195,1
2796,16.547000885009766,1
2797,17.707000732421875,1
2798,17.707000732421875,1
2799,17.707000732421875,1
2809,17.55900001525879,1
2810,17.55900001525879,1
2811,17.55900001525879,1
2812,16.433000564575195,1
2818,16.547000885009766,1
2819,17.707000732421875,1
2820,17.707000732421875,1
2821,17.707000732421875,1
2832,16.430999755859375,1
2833,16.430999755859375,1
2834,16.430999755859375,1
2841,17.707000732421875,1
2842,17.707000732421875,1
2843,17.707000732421875,1
3360,15.428999900817871,1
3361,15.428999900817871,1
3362,15.428999900817871,1
3382,15.428999900817871,1
3383,15.428999900817871,1
3384,15.428999900817871,1
3406,15.454999923706055,1
3425,17.55900001525879,1
3426,17.55900001525879,1
3427,17.55900001525879,1
3428,16.433000564575195,1
3447,17.55900001525879,1
3448,18.128000259399414,1
3449,18.128000259399414,1
3450,18.128000259399414,1
3457,17.707000732421875,1
3458,17.707000732421875,1
3459,17.707000732421875,1
3469,17.55900001525879,1
3470,18.128000259399414,1
3471,18.128000259399414,1
3472,18.128000259399414,1
3479,17.707000732421875,1
3480,17.707000732421875,1
3481,17.707000732421875,1
3492,18.128000259399414,1
3493,18.128000259399414,1
3494,18.128000259399414,1
3501,17.707000732421875,1
3502,17.707000732421875,1
3503,17.707000732421875,1
4085,17.55900001525879,1
4086,17.55900001525879,1
4087,17.55900001525879,1
4088,16.433000564575195,1
4107,17.55900001525879,1
4108,18.128000259399414,1
4109,18.128000259399414,1
4110,18.128000259399414,1
4117,17.707000732421875,1
4118,17.707000732421875,1
4119,17.707000732421875,1
4129,17.55900001525879,1
4130,18.128000259399414,1
4131,18.128000259399414,1
4132,18.128000259399414,1
4139,17.707000732421875,1
4140,17.707000732421875,1
4141,17.707000732421875,1
4152,18.128000259399414,1
4153,18.128000259399414,1
4154,18.128000259399414,1
4161,17.707000732421875,1
4162,17.707000732421875,1
4163,17.707000732421875,1
4745,15.968000411987305,1
4746,15.968000411987305,1
4747,15.968000411987305,1
4767,15.968000411987305,1
4768,18.128000259399414,1
4769,18.128000259399414,1
4770,18.128000259399414,1
4789,15.968000411987305,1
4790,18.128000259399414,1
4791,18.128000259399414,1
4792,18.128000259399414,1
4812,18.128000259399414,1
4813,18.128000259399414,1
4814,18.128000259399414,1
5188,14.388999938964844,1
5208,17.13800048828125,1
5209,17.13800048828125,1
5210,14.388999938964844,1
5231,14.388999938964844,1
5232,14.388999938964844,1
5428,14.875,1
5429,14.875,1
5430,14.875,1
5450,14.875,1
5451,14.875,1
