,scores,cavity
1478,16.6299991608,1
1479,16.6299991608,1
1502,16.6299991608,1
1503,16.6299991608,1
1525,17.6520004272,1
1526,16.6299991608,1
1527,16.6299991608,1
1547,17.8460006714,1
1548,17.8460006714,1
1549,17.8460006714,1
1550,15.7170000076,1
1571,17.8460006714,1
1572,17.8460006714,1
1573,17.8460006714,1
1574,15.7170000076,1
1595,17.8460006714,1
1596,17.8460006714,1
1597,17.8460006714,1
1598,15.7170000076,1
1619,17.7049999237,1
1620,17.7049999237,1
1621,17.7049999237,1
1647,15.5050001144,1
1648,17.3449993134,1
1649,18.3509998322,1
1650,18.3509998322,1
1651,18.3509998322,1
1652,16.1779994965,1
1671,17.843000412,1
1672,18.9890003204,1
1673,18.9890003204,1
1674,18.9890003204,1
1675,18.3509998322,1
1676,16.1779994965,1
1695,17.843000412,1
1696,18.9890003204,1
1697,18.9890003204,1
1698,18.9890003204,1
1719,17.843000412,1
1720,18.9890003204,1
1721,18.9890003204,1
1722,18.9890003204,1
1742,16.9829998016,1
1743,16.9829998016,1
1924,16.4759998322,1
1925,16.4759998322,1
1926,16.4759998322,1
1927,15.9409999847,1
2053,17.8050003052,1
2054,20.7240009308,1
2055,20.7240009308,1
2056,20.7240009308,1
2057,19.3439998627,1
2076,19.6000003815,1
2077,19.9130001068,1
2078,20.7240009308,1
2079,20.7240009308,1
2080,20.7240009308,1
2081,19.3439998627,1
2100,19.811000824,1
2101,19.9130001068,1
2102,20.7240009308,1
2103,20.7240009308,1
2104,20.7240009308,1
2105,19.3439998627,1
2124,19.811000824,1
2125,19.9130001068,1
2126,19.9130001068,1
2127,19.9130001068,1
2128,18.2310009003,1
2148,19.811000824,1
2149,19.811000824,1
2150,19.811000824,1
2151,18.2310009003,1
2152,18.2310009003,1
2172,19.2070007324,1
2173,19.2070007324,1
2174,19.2070007324,1
2195,17.8460006714,1
2196,17.8460006714,1
2197,17.8460006714,1
2198,17.3799991608,1
2219,17.7049999237,1
2220,17.7049999237,1
2221,17.7049999237,1
2224,17.5100002289,1
2225,18.9750003815,1
2226,19.1480007172,1
2227,19.1480007172,1
2228,19.1480007172,1
2247,18.2250003815,1
2248,22.1450004578,1
2249,23.3899993896,1
2250,23.3899993896,1
2251,23.3899993896,1
2252,21.7849998474,1
2271,18.6189994812,1
2272,22.1450004578,1
2273,23.3899993896,1
2274,23.3899993896,1
2275,23.3899993896,1
2276,21.7849998474,1
2295,18.6189994812,1
2296,22.1450004578,1
2297,23.3899993896,1
2298,23.3899993896,1
2299,23.3899993896,1
2300,21.7849998474,1
2319,18.6189994812,1
2320,21.9130001068,1
2321,22.9850006104,1
2322,22.9850006104,1
2323,22.9850006104,1
2324,20.7479991913,1
2343,17.4960002899,1
2345,21.5109996796,1
2346,21.5109996796,1
2347,21.5109996796,1
2499,18.3159999847,1
2500,18.3159999847,1
2501,18.3159999847,1
2502,17.658000946,1
2503,15.892999649,1
2523,18.3159999847,1
2524,18.375,1
2525,18.375,1
2526,18.375,1
2527,17.2619991302,1
2528,16.8169994354,1
2529,16.8169994354,1
2547,18.3159999847,1
2548,18.375,1
2549,18.375,1
2550,18.375,1
2551,17.2619991302,1
2552,16.8169994354,1
2553,16.8169994354,1
2571,17.0510005951,1
2572,18.375,1
2573,18.375,1
2574,18.375,1
2575,17.2619991302,1
2576,16.8169994354,1
2577,16.8169994354,1
2653,17.8050003052,1
2654,20.7240009308,1
2655,20.7240009308,1
2656,20.7240009308,1
2657,19.7569999695,1
2676,19.6000003815,1
2677,19.9130001068,1
2678,20.7240009308,1
2679,20.7240009308,1
2680,20.7240009308,1
2681,20.4950008392,1
2700,19.811000824,1
2701,19.9130001068,1
2702,21.2159996033,1
2703,21.2159996033,1
2704,21.2159996033,1
2705,20.4950008392,1
2724,19.811000824,1
2725,19.9729995728,1
2726,21.2159996033,1
2727,21.2159996033,1
2728,21.2159996033,1
2729,20.4950008392,1
2748,19.811000824,1
2749,19.9729995728,1
2750,21.2159996033,1
2751,21.2159996033,1
2752,21.2159996033,1
2772,19.2070007324,1
2773,19.9729995728,1
2774,19.9729995728,1
2775,19.9729995728,1
2778,16.4869995117,1
2779,16.4869995117,1
2780,16.4869995117,1
2795,17.8460006714,1
2796,17.8460006714,1
2797,18.0310001373,1
2798,18.0310001373,1
2799,18.0310001373,1
2801,16.8899993896,1
2802,18.4650001526,1
2803,18.4650001526,1
2804,18.4650001526,1
2819,17.7049999237,1
2820,17.7049999237,1
2821,17.7730007172,1
2822,17.7730007172,1
2823,17.7730007172,1
2824,20.0079994202,1
2825,20.8460006714,1
2826,22.9559993744,1
2827,22.9559993744,1
2828,22.9559993744,1
2829,16.3330001831,1
2847,18.2250003815,1
2848,22.1450004578,1
2849,23.4179992676,1
2850,23.5310001373,1
2851,23.5310001373,1
2852,23.5310001373,1
2853,20.5529994965,1
2871,18.6189994812,1
2872,22.1450004578,1
2873,23.4179992676,1
2874,23.5310001373,1
2875,23.5310001373,1
2876,23.5310001373,1
2877,20.5529994965,1
2895,18.6189994812,1
2896,22.1450004578,1
2897,23.4179992676,1
2898,23.5310001373,1
2899,23.5310001373,1
2900,23.5310001373,1
2901,20.5529994965,1
2919,18.6189994812,1
2920,21.9130001068,1
2921,22.9850006104,1
2922,22.9850006104,1
2923,22.9850006104,1
2924,21.3950004578,1
2943,17.4960002899,1
2945,21.5109996796,1
2946,21.5109996796,1
2947,21.5109996796,1
3051,15.8100004196,1
3052,15.8100004196,1
3053,15.8100004196,1
3075,20.9950008392,1
3076,20.9950008392,1
3077,20.9950008392,1
3078,20.5599994659,1
3099,22.7549991608,1
3100,22.7549991608,1
3101,22.7549991608,1
3102,20.6480007172,1
3103,20.1210002899,1
3123,22.7549991608,1
3124,22.7549991608,1
3125,22.7549991608,1
3126,21.7450008392,1
3127,20.1210002899,1
3128,17.1749992371,1
3129,16.8169994354,1
3147,22.7549991608,1
3148,22.7549991608,1
3149,22.7549991608,1
3150,21.7450008392,1
3151,20.1210002899,1
3152,17.1749992371,1
3171,21.2259998322,1
3172,21.7450008392,1
3173,21.7450008392,1
3174,21.7450008392,1
3254,20.7240009308,1
3255,20.7240009308,1
3256,20.7240009308,1
3257,19.7569999695,1
3276,19.6000003815,1
3277,19.9130001068,1
3278,20.7240009308,1
3279,20.7240009308,1
3280,20.7240009308,1
3281,20.4950008392,1
3300,19.811000824,1
3301,19.9130001068,1
3302,21.2159996033,1
3303,21.343000412,1
3304,21.343000412,1
3305,21.343000412,1
3324,19.811000824,1
3325,19.9729995728,1
3326,21.2159996033,1
3327,21.343000412,1
3328,21.343000412,1
3329,21.343000412,1
3330,19.2430000305,1
3331,19.2430000305,1
3348,19.811000824,1
3349,19.9729995728,1
3350,21.2159996033,1
3351,21.343000412,1
3352,21.343000412,1
3353,21.343000412,1
3354,19.5300006866,1
3355,19.5300006866,1
3372,19.2070007324,1
3373,19.9729995728,1
3374,19.9729995728,1
3375,19.9729995728,1
3377,19.5300006866,1
3378,19.5300006866,1
3379,19.5300006866,1
3397,18.0310001373,1
3401,20.4050006866,1
3402,20.4050006866,1
3403,20.4050006866,1
3404,18.4650001526,1
3421,17.7730007172,1
3424,20.0079994202,1
3425,21.6359996796,1
3426,22.9559993744,1
3427,22.9559993744,1
3428,22.9559993744,1
3429,16.3330001831,1
3447,18.2250003815,1
3448,22.1450004578,1
3449,23.4179992676,1
3450,23.5310001373,1
3451,23.5310001373,1
3452,23.5310001373,1
3453,20.5529994965,1
3471,18.6189994812,1
3472,22.1450004578,1
3473,23.4179992676,1
3474,23.5310001373,1
3475,23.5310001373,1
3476,23.5310001373,1
3477,20.5529994965,1
3495,18.6189994812,1
3496,22.1450004578,1
3497,23.4179992676,1
3498,23.5310001373,1
3499,23.5310001373,1
3500,23.5310001373,1
3501,20.5529994965,1
3519,18.6189994812,1
3520,21.9130001068,1
3521,22.9850006104,1
3522,22.9850006104,1
3523,22.9850006104,1
3524,21.3950004578,1
3545,21.5109996796,1
3546,21.5109996796,1
3547,21.5109996796,1
3650,17.5580005646,1
3651,17.5960006714,1
3652,17.5960006714,1
3653,17.5960006714,1
3674,20.9619998932,1
3675,25.656999588,1
3676,25.656999588,1
3677,25.656999588,1
3678,20.5599994659,1
3698,23.4419994354,1
3699,27.138999939,1
3700,27.138999939,1
3701,27.138999939,1
3702,20.6480007172,1
3703,20.1210002899,1
3722,23.4419994354,1
3723,27.138999939,1
3724,27.138999939,1
3725,27.138999939,1
3726,21.7450008392,1
3727,20.1210002899,1
3728,17.1749992371,1
3729,16.8169994354,1
3746,23.4419994354,1
3747,27.138999939,1
3748,27.138999939,1
3749,27.138999939,1
3750,21.7450008392,1
3751,20.1210002899,1
3752,17.1749992371,1
3771,21.2259998322,1
3772,21.7450008392,1
3773,21.7450008392,1
3774,21.7450008392,1
3854,19.3969993591,1
3855,19.7569999695,1
3856,19.7569999695,1
3857,19.7569999695,1
3878,20.3439998627,1
3879,20.4950008392,1
3880,20.4950008392,1
3881,20.4950008392,1
3901,19.8250007629,1
3902,21.2159996033,1
3903,21.343000412,1
3904,21.343000412,1
3905,21.343000412,1
3925,19.9729995728,1
3926,21.2159996033,1
3927,21.343000412,1
3928,21.343000412,1
3929,21.343000412,1
3930,19.2430000305,1
3931,19.2430000305,1
3949,19.9729995728,1
3950,21.2159996033,1
3951,21.343000412,1
3952,21.343000412,1
3953,21.343000412,1
3954,19.5300006866,1
3955,19.5300006866,1
3973,19.9729995728,1
3974,19.9729995728,1
3975,19.9729995728,1
3977,19.5300006866,1
3978,19.5300006866,1
3979,19.5300006866,1
3997,18.0310001373,1
4001,20.4050006866,1
4002,20.4050006866,1
4003,20.4050006866,1
4004,18.4650001526,1
4021,17.7730007172,1
4024,20.0079994202,1
4025,21.6359996796,1
4026,22.9559993744,1
4027,22.9559993744,1
4028,22.9559993744,1
4029,16.3330001831,1
4048,20.311000824,1
4049,23.4179992676,1
4050,23.5310001373,1
4051,23.5310001373,1
4052,23.5310001373,1
4053,20.5529994965,1
4072,20.311000824,1
4073,23.4179992676,1
4074,23.5310001373,1
4075,23.5310001373,1
4076,23.5310001373,1
4077,20.5529994965,1
4096,20.311000824,1
4097,23.4179992676,1
4098,23.5310001373,1
4099,23.5310001373,1
4100,23.5310001373,1
4101,20.5529994965,1
4120,19.4549999237,1
4121,22.7399997711,1
4122,22.7399997711,1
4123,22.7399997711,1
4124,21.3950004578,1
4250,17.5580005646,1
4251,17.5960006714,1
4252,17.5960006714,1
4253,17.5960006714,1
4274,20.9619998932,1
4275,25.656999588,1
4276,25.656999588,1
4277,25.656999588,1
4278,20.5599994659,1
4298,23.4419994354,1
4299,27.138999939,1
4300,27.138999939,1
4301,27.138999939,1
4302,20.6480007172,1
4303,20.1210002899,1
4322,23.4419994354,1
4323,27.138999939,1
4324,27.138999939,1
4325,27.138999939,1
4326,21.7450008392,1
4327,20.1210002899,1
4328,17.1749992371,1
4346,23.4419994354,1
4347,27.138999939,1
4348,27.138999939,1
4349,27.138999939,1
4350,21.7450008392,1
4351,20.1210002899,1
4352,17.1749992371,1
4370,17.3899993896,1
4371,21.2259998322,1
4372,21.7450008392,1
4373,21.7450008392,1
4374,21.7450008392,1
4478,20.1849994659,1
4479,20.1849994659,1
4480,20.1849994659,1
4502,20.1849994659,1
4503,21.343000412,1
4504,21.343000412,1
4505,21.343000412,1
4526,20.1849994659,1
4527,21.343000412,1
4528,21.343000412,1
4529,21.343000412,1
4530,19.2430000305,1
4531,19.2430000305,1
4551,21.343000412,1
4552,21.343000412,1
4553,21.343000412,1
4554,19.5300006866,1
4555,19.5300006866,1
4577,19.5300006866,1
4578,19.5300006866,1
4579,19.5300006866,1
4601,20.4050006866,1
4602,20.4050006866,1
4603,20.4050006866,1
4625,21.6359996796,1
4626,21.6359996796,1
4627,21.6359996796,1
4628,20.5039997101,1
4648,19.2059993744,1
4649,22.3680000305,1
4650,22.3680000305,1
4651,22.3680000305,1
4652,20.5039997101,1
4672,19.2059993744,1
4673,22.3680000305,1
4674,22.3680000305,1
4675,22.3680000305,1
4676,20.5039997101,1
4696,19.2059993744,1
4697,22.3680000305,1
4698,22.3680000305,1
4699,22.3680000305,1
4700,19.1849994659,1
4850,17.5580005646,1
4851,17.5960006714,1
4852,17.5960006714,1
4853,17.5960006714,1
4874,20.9619998932,1
4875,25.656999588,1
4876,25.656999588,1
4877,25.656999588,1
4878,16.6599998474,1
4898,23.4419994354,1
4899,27.138999939,1
4900,27.138999939,1
4901,27.138999939,1
4902,18.2880001068,1
4922,23.4419994354,1
4923,27.138999939,1
4924,27.138999939,1
4925,27.138999939,1
4926,21.1100006104,1
4946,23.4419994354,1
4947,27.138999939,1
4948,27.138999939,1
4949,27.138999939,1
4950,21.1100006104,1
4970,17.3899993896,1
4971,20.0119991302,1
4972,21.1100006104,1
4973,21.1100006104,1
4974,21.1100006104,1
8399,11.9029998779,1
8400,11.9029998779,1
8401,11.9029998779,1
8426,11.7539997101,1
8427,13.6630001068,1
8428,13.6630001068,1
8429,13.6630001068,1
8454,11.7539997101,1
8455,13.6630001068,1
8456,13.6630001068,1
8457,13.6630001068,1
8482,11.7539997101,1
8483,13.6630001068,1
8484,13.6630001068,1
8485,13.6630001068,1
9098,12.0659999847,1
9099,12.0659999847,1
9100,12.0659999847,1
9101,11.8039999008,1
9102,11.8039999008,1
9125,12.142999649,1
9126,12.142999649,1
9127,13.404999733,1
9128,13.404999733,1
9129,13.404999733,1
9130,12.9910001755,1
9131,11.7089996338,1
9153,12.142999649,1
9154,12.142999649,1
9155,13.404999733,1
9156,14.0819997787,1
9157,14.0819997787,1
9158,14.0819997787,1
9159,12.6540002823,1
9160,12.0989999771,1
9181,12.142999649,1
9182,12.845000267,1
9183,14.2110004425,1
9184,14.2110004425,1
9185,14.2110004425,1
9186,14.1059999466,1
9187,12.7580003738,1
9188,12.7239999771,1
9210,14.5729999542,1
9211,16.4799995422,1
9212,16.4799995422,1
9213,16.4799995422,1
9214,15.3330001831,1
9215,12.8260002136,1
9216,12.7239999771,1
9238,14.5729999542,1
9239,16.4799995422,1
9240,16.4799995422,1
9241,16.4799995422,1
9242,15.3330001831,1
9243,12.8260002136,1
9244,12.7239999771,1
9266,14.5729999542,1
9267,16.4799995422,1
9268,16.4799995422,1
9269,16.4799995422,1
9270,15.3330001831,1
9271,12.8260002136,1
9294,11.8149995804,1
9295,12.4110002518,1
9296,12.4110002518,1
9297,12.4110002518,1
9298,12.2030000687,1
9442,12.232000351,1
9443,12.2860002518,1
9444,12.2860002518,1
9445,12.2860002518,1
9469,11.9040002823,1
9470,12.5530004501,1
9471,12.8100004196,1
9472,12.8100004196,1
9473,12.8100004196,1
9474,12.361000061,1
9475,11.623000145,1
9497,12.329000473,1
9498,13.345000267,1
9499,14.6510000229,1
9500,14.6510000229,1
9501,14.6510000229,1
9502,14.4239997864,1
9503,14.4239997864,1
9504,14.4239997864,1
9525,12.329000473,1
9526,13.345000267,1
9527,14.6510000229,1
9528,14.6510000229,1
9529,14.9289999008,1
9530,14.9289999008,1
9531,14.9289999008,1
9532,14.4239997864,1
9553,12.329000473,1
9554,13.345000267,1
9555,14.6510000229,1
9556,14.6510000229,1
9557,14.9289999008,1
