,scores,cavity
913,16.27899932861328,1
914,16.27899932861328,1
915,16.27899932861328,1
936,16.27899932861328,1
937,16.27899932861328,1
938,16.27899932861328,1
959,16.27899932861328,1
960,16.27899932861328,1
961,16.27899932861328,1
1256,13.829000473022461,1
1257,16.554000854492188,1
1258,16.554000854492188,1
1259,16.554000854492188,1
1260,14.333000183105469,1
1279,18.233999252319336,1
1280,19.70199966430664,1
1281,19.70199966430664,1
1282,19.70199966430664,1
1302,18.233999252319336,1
1303,19.70199966430664,1
1304,19.70199966430664,1
1305,19.70199966430664,1
1325,18.233999252319336,1
1326,19.70199966430664,1
1327,19.70199966430664,1
1328,19.70199966430664,1
1348,16.91200065612793,1
1349,18.011999130249023,1
1350,18.011999130249023,1
1351,18.011999130249023,1
1555,15.986000061035156,1
1556,15.986000061035156,1
1557,15.986000061035156,1
1558,14.604999542236328,1
1578,15.986000061035156,1
1579,15.986000061035156,1
1580,15.986000061035156,1
1581,14.604999542236328,1
1601,15.986000061035156,1
1602,15.986000061035156,1
1603,15.986000061035156,1
1604,14.604999542236328,1
1624,13.829000473022461,1
1625,16.915000915527344,1
1626,16.915000915527344,1
1627,16.915000915527344,1
1628,14.333000183105469,1
1647,18.233999252319336,1
1648,19.70199966430664,1
1649,19.70199966430664,1
1650,19.70199966430664,1
1669,16.06100082397461,1
1670,18.445999145507812,1
1671,19.70199966430664,1
1672,19.70199966430664,1
1673,19.70199966430664,1
1691,13.62600040435791,1
1692,16.263999938964844,1
1693,18.445999145507812,1
1694,19.70199966430664,1
1695,19.70199966430664,1
1696,19.70199966430664,1
1715,16.263999938964844,1
1716,18.445999145507812,1
1717,18.445999145507812,1
1718,18.445999145507812,1
1719,18.011999130249023,1
1739,16.4950008392334,1
1740,16.4950008392334,1
1741,16.4950008392334,1
1901,9.600000381469727,1
1902,13.180000305175781,1
1903,13.180000305175781,1
1904,13.180000305175781,1
1923,17.829999923706055,1
1924,17.829999923706055,1
1925,17.829999923706055,1
1926,14.944000244140625,1
1927,14.944000244140625,1
1928,9.545999526977539,1
1929,9.545999526977539,1
1946,17.829999923706055,1
1947,17.829999923706055,1
1948,17.829999923706055,1
1949,14.944000244140625,1
1950,14.944000244140625,1
1951,9.545999526977539,1
1952,9.545999526977539,1
1969,17.829999923706055,1
1970,17.829999923706055,1
1971,17.829999923706055,1
1972,14.944000244140625,1
1973,14.944000244140625,1
1992,13.829000473022461,1
1993,16.915000915527344,1
1994,16.915000915527344,1
1995,16.915000915527344,1
1996,14.333000183105469,1
2015,18.233999252319336,1
2016,19.70199966430664,1
2017,19.70199966430664,1
2018,19.70199966430664,1
2037,16.06100082397461,1
2038,18.445999145507812,1
2039,19.70199966430664,1
2040,19.70199966430664,1
2041,19.70199966430664,1
2060,16.263999938964844,1
2061,18.445999145507812,1
2062,19.70199966430664,1
2063,19.70199966430664,1
2064,19.70199966430664,1
2083,16.263999938964844,1
2084,18.445999145507812,1
2085,18.445999145507812,1
2086,18.445999145507812,1
2087,18.011999130249023,1
2107,16.4950008392334,1
2269,11.595000267028809,1
2270,13.180000305175781,1
2271,13.180000305175781,1
2272,13.180000305175781,1
2290,14.706000328063965,1
2291,17.829999923706055,1
2292,17.829999923706055,1
2293,17.829999923706055,1
2294,15.329000473022461,1
2295,14.944000244140625,1
2296,9.545999526977539,1
2297,9.545999526977539,1
2303,12.449000358581543,1
2304,12.449000358581543,1
2305,12.449000358581543,1
2313,14.706000328063965,1
2314,17.829999923706055,1
2315,17.829999923706055,1
2316,17.829999923706055,1
2317,15.329000473022461,1
2318,14.944000244140625,1
2326,12.449000358581543,1
2327,12.449000358581543,1
2328,12.449000358581543,1
2336,14.706000328063965,1
2337,17.829999923706055,1
2338,17.829999923706055,1
2339,17.829999923706055,1
2340,15.329000473022461,1
2341,14.944000244140625,1
2349,12.449000358581543,1
2350,12.449000358581543,1
2352,13.28499984741211,1
2353,13.28499984741211,1
2354,13.28499984741211,1
2361,16.915000915527344,1
2362,16.915000915527344,1
2363,16.915000915527344,1
2375,13.28499984741211,1
2383,17.4689998626709,1
2384,17.947999954223633,1
2385,17.947999954223633,1
2386,17.947999954223633,1
2405,16.06100082397461,1
2406,18.445999145507812,1
2407,18.445999145507812,1
2408,18.445999145507812,1
2409,17.947999954223633,1
2420,13.006999969482422,1
2428,16.263999938964844,1
2429,18.445999145507812,1
2430,18.445999145507812,1
2431,18.445999145507812,1
2432,17.947999954223633,1
2451,16.263999938964844,1
2452,18.445999145507812,1
2453,18.445999145507812,1
2454,18.445999145507812,1
2455,17.215999603271484,1
2475,16.4950008392334,1
2637,11.595000267028809,1
2638,13.180000305175781,1
2639,13.180000305175781,1
2640,13.180000305175781,1
2648,13.458999633789062,1
2649,16.645999908447266,1
2650,16.645999908447266,1
2651,16.645999908447266,1
2658,14.706000328063965,1
2659,17.829999923706055,1
2660,17.829999923706055,1
2661,17.829999923706055,1
2662,15.329000473022461,1
2663,14.944000244140625,1
2665,9.545999526977539,1
2670,14.916999816894531,1
2671,17.25200080871582,1
2672,17.25200080871582,1
2673,17.25200080871582,1
2674,16.645999908447266,1
2675,13.817000389099121,1
2681,14.706000328063965,1
2682,17.829999923706055,1
2683,17.829999923706055,1
2684,17.829999923706055,1
2693,14.916999816894531,1
2694,17.25200080871582,1
2695,17.25200080871582,1
2696,17.25200080871582,1
2697,16.645999908447266,1
2698,13.817000389099121,1
2704,14.706000328063965,1
2705,17.829999923706055,1
2706,17.829999923706055,1
2707,17.829999923706055,1
2716,14.916999816894531,1
2717,17.25200080871582,1
2718,17.25200080871582,1
2719,17.25200080871582,1
2720,15.697999954223633,1
2721,13.951000213623047,1
2739,11.866999626159668,1
2740,14.8149995803833,1
2741,15.456999778747559,1
2742,15.456999778747559,1
2743,15.456999778747559,1
2765,13.951000213623047,1
2788,13.772000312805176,1
3005,11.595000267028809,1
3006,11.595000267028809,1
3007,11.595000267028809,1
3016,15.263999938964844,1
3017,17.724000930786133,1
3018,17.724000930786133,1
3019,17.724000930786133,1
3026,14.706000328063965,1
3027,14.706000328063965,1
3028,15.329000473022461,1
3029,15.329000473022461,1
3030,15.329000473022461,1
3038,17.207000732421875,1
3039,21.496999740600586,1
3040,21.496999740600586,1
3041,21.496999740600586,1
3042,19.024999618530273,1
3049,14.706000328063965,1
3050,14.706000328063965,1
3051,15.329000473022461,1
3052,15.329000473022461,1
3061,17.207000732421875,1
3062,21.496999740600586,1
3063,21.496999740600586,1
3064,21.496999740600586,1
3065,19.024999618530273,1
3072,14.706000328063965,1
3073,14.706000328063965,1
3074,15.329000473022461,1
3075,15.329000473022461,1
3084,17.207000732421875,1
3085,21.496999740600586,1
3086,21.496999740600586,1
3087,21.496999740600586,1
3088,19.024999618530273,1
3096,14.480999946594238,1
3097,14.87600040435791,1
3098,14.87600040435791,1
3107,11.866999626159668,1
3108,16.527999877929688,1
3109,16.871000289916992,1
3110,16.871000289916992,1
3111,16.871000289916992,1
3131,13.989999771118164,1
3132,13.989999771118164,1
3133,13.989999771118164,1
3156,13.772000312805176,1
3384,16.26300048828125,1
3385,17.724000930786133,1
3386,17.724000930786133,1
3387,17.724000930786133,1
3406,17.207000732421875,1
3407,21.496999740600586,1
3408,21.496999740600586,1
3409,21.496999740600586,1
3410,19.024999618530273,1
3418,14.480999946594238,1
3419,14.87600040435791,1
3420,14.87600040435791,1
3429,17.207000732421875,1
3430,21.496999740600586,1
3431,21.496999740600586,1
3432,21.496999740600586,1
3433,19.024999618530273,1
3441,14.480999946594238,1
3442,14.87600040435791,1
3443,14.87600040435791,1
3452,17.207000732421875,1
3453,21.496999740600586,1
3454,21.496999740600586,1
3455,21.496999740600586,1
3456,19.024999618530273,1
3466,14.87600040435791,1
3476,16.527999877929688,1
3477,16.871000289916992,1
3478,16.871000289916992,1
3479,16.871000289916992,1
3480,13.951000213623047,1
3499,13.989999771118164,1
3500,13.989999771118164,1
3501,13.989999771118164,1
3502,13.951000213623047,1
3503,13.951000213623047,1
3524,13.772000312805176,1
3525,13.772000312805176,1
3526,13.772000312805176,1
3549,14.095999717712402,1
3550,14.597000122070312,1
3551,14.597000122070312,1
3572,14.095999717712402,1
3573,14.597000122070312,1
3574,14.597000122070312,1
3575,14.597000122070312,1
3595,14.095999717712402,1
3596,14.597000122070312,1
3597,14.597000122070312,1
3598,14.597000122070312,1
3618,13.571000099182129,1
3619,14.437000274658203,1
3620,14.437000274658203,1
3621,14.437000274658203,1
3752,16.26300048828125,1
3753,17.724000930786133,1
3754,17.724000930786133,1
3755,17.724000930786133,1
3774,17.207000732421875,1
3775,21.496999740600586,1
3776,21.496999740600586,1
3777,21.496999740600586,1
3778,19.024999618530273,1
3786,14.480999946594238,1
3787,14.87600040435791,1
3788,14.87600040435791,1
3789,14.87600040435791,1
3797,17.207000732421875,1
3798,21.496999740600586,1
3799,21.496999740600586,1
3800,21.496999740600586,1
3801,19.024999618530273,1
3809,14.480999946594238,1
3810,14.87600040435791,1
3811,14.87600040435791,1
3820,17.207000732421875,1
3821,21.496999740600586,1
3822,21.496999740600586,1
3823,21.496999740600586,1
3824,19.024999618530273,1
3832,16.951000213623047,1
3833,16.951000213623047,1
3834,16.951000213623047,1
3844,16.527999877929688,1
3845,16.871000289916992,1
3846,16.871000289916992,1
3847,16.871000289916992,1
3854,16.365999221801758,1
3855,16.951000213623047,1
3856,16.951000213623047,1
3857,16.951000213623047,1
3867,13.989999771118164,1
3868,13.989999771118164,1
3869,13.989999771118164,1
3870,13.902999877929688,1
3877,16.365999221801758,1
3878,16.951000213623047,1
3879,16.951000213623047,1
3880,16.951000213623047,1
3900,16.365999221801758,1
3917,14.095999717712402,1
3918,14.597000122070312,1
3940,14.095999717712402,1
3941,14.597000122070312,1
3963,14.095999717712402,1
3964,14.597000122070312,1
3986,13.571000099182129,1
3987,14.437000274658203,1
3988,14.437000274658203,1
3989,14.437000274658203,1
4120,16.26300048828125,1
4121,16.26300048828125,1
4122,16.26300048828125,1
4154,14.050000190734863,1
4155,14.050000190734863,1
4156,14.050000190734863,1
4177,14.050000190734863,1
4178,14.050000190734863,1
4179,14.050000190734863,1
4200,16.951000213623047,1
4201,16.951000213623047,1
4202,16.951000213623047,1
4222,16.365999221801758,1
4223,16.951000213623047,1
4224,16.951000213623047,1
4225,16.951000213623047,1
4245,16.365999221801758,1
4246,16.951000213623047,1
4247,16.951000213623047,1
4248,16.951000213623047,1
4268,16.365999221801758,1
4269,16.365999221801758,1
4283,13.67300033569336,1
4284,13.67300033569336,1
4306,13.67300033569336,1
4307,13.67300033569336,1
4329,13.67300033569336,1
4330,13.67300033569336,1
4331,14.095999717712402,1
4332,14.597000122070312,1
4354,13.571000099182129,1
4355,14.437000274658203,1
4356,14.437000274658203,1
4568,16.951000213623047,1
4569,16.951000213623047,1
4570,16.951000213623047,1
4590,16.365999221801758,1
4591,16.951000213623047,1
4592,16.951000213623047,1
4593,16.951000213623047,1
4613,16.365999221801758,1
4614,16.951000213623047,1
4615,16.951000213623047,1
4636,16.365999221801758,1
4637,16.365999221801758,1
4651,13.67300033569336,1
4674,13.67300033569336,1
4697,13.67300033569336,1
4698,13.67300033569336,1
5019,13.67300033569336,1
5042,13.67300033569336,1
5065,13.67300033569336,1
5066,13.67300033569336,1
