,scores,cavity
913,16.011999130249023,1
914,16.011999130249023,1
915,16.011999130249023,1
936,16.011999130249023,1
937,16.011999130249023,1
938,16.011999130249023,1
959,16.011999130249023,1
960,16.011999130249023,1
961,16.011999130249023,1
1256,13.890999794006348,1
1257,16.950000762939453,1
1258,16.950000762939453,1
1259,16.950000762939453,1
1260,13.470999717712402,1
1279,18.20400047302246,1
1280,19.97100067138672,1
1281,19.97100067138672,1
1282,19.97100067138672,1
1283,16.558000564575195,1
1302,18.20400047302246,1
1303,19.97100067138672,1
1304,19.97100067138672,1
1305,19.97100067138672,1
1306,16.558000564575195,1
1325,18.20400047302246,1
1326,19.97100067138672,1
1327,19.97100067138672,1
1328,19.97100067138672,1
1329,16.558000564575195,1
1348,16.05299949645996,1
1349,16.941999435424805,1
1350,16.941999435424805,1
1351,16.941999435424805,1
1555,14.890000343322754,1
1556,14.890000343322754,1
1557,14.890000343322754,1
1558,13.597999572753906,1
1578,14.890000343322754,1
1579,14.890000343322754,1
1580,14.890000343322754,1
1581,13.597999572753906,1
1601,14.890000343322754,1
1602,14.890000343322754,1
1603,14.890000343322754,1
1604,13.597999572753906,1
1624,13.890999794006348,1
1625,16.950000762939453,1
1626,16.950000762939453,1
1627,16.950000762939453,1
1628,13.470999717712402,1
1647,18.20400047302246,1
1648,19.97100067138672,1
1649,19.97100067138672,1
1650,19.97100067138672,1
1651,16.558000564575195,1
1669,16.22599983215332,1
1670,18.20400047302246,1
1671,19.97100067138672,1
1672,19.97100067138672,1
1673,19.97100067138672,1
1674,16.558000564575195,1
1691,13.227999687194824,1
1692,16.22599983215332,1
1693,18.20400047302246,1
1694,19.97100067138672,1
1695,19.97100067138672,1
1696,19.97100067138672,1
1697,16.558000564575195,1
1714,13.227999687194824,1
1715,16.22599983215332,1
1716,17.871999740600586,1
1717,17.871999740600586,1
1718,17.871999740600586,1
1719,16.941999435424805,1
1901,10.36400032043457,1
1902,10.694000244140625,1
1903,10.694000244140625,1
1904,10.694000244140625,1
1923,18.194000244140625,1
1924,18.194000244140625,1
1925,18.194000244140625,1
1926,13.597999572753906,1
1927,12.883999824523926,1
1928,9.512999534606934,1
1929,9.512999534606934,1
1946,18.194000244140625,1
1947,18.194000244140625,1
1948,18.194000244140625,1
1949,13.597999572753906,1
1950,12.883999824523926,1
1951,9.512999534606934,1
1952,9.512999534606934,1
1969,18.194000244140625,1
1970,18.194000244140625,1
1971,18.194000244140625,1
1972,13.597999572753906,1
1973,12.883999824523926,1
1975,9.512999534606934,1
1992,13.890999794006348,1
1993,16.950000762939453,1
1994,16.950000762939453,1
1995,16.950000762939453,1
1996,13.470999717712402,1
2015,18.20400047302246,1
2016,19.97100067138672,1
2017,19.97100067138672,1
2018,19.97100067138672,1
2019,16.558000564575195,1
2037,16.22599983215332,1
2038,18.20400047302246,1
2039,19.97100067138672,1
2040,19.97100067138672,1
2041,19.97100067138672,1
2042,16.558000564575195,1
2060,16.22599983215332,1
2061,18.20400047302246,1
2062,19.97100067138672,1
2063,19.97100067138672,1
2064,19.97100067138672,1
2065,16.558000564575195,1
2083,16.22599983215332,1
2084,17.871999740600586,1
2085,17.871999740600586,1
2086,17.871999740600586,1
2087,16.941999435424805,1
2269,10.36400032043457,1
2270,10.694000244140625,1
2271,10.694000244140625,1
2272,10.694000244140625,1
2290,13.774999618530273,1
2291,18.194000244140625,1
2292,18.194000244140625,1
2293,18.194000244140625,1
2294,15.531999588012695,1
2295,12.883999824523926,1
2296,9.512999534606934,1
2297,9.512999534606934,1
2303,11.682999610900879,1
2304,11.682999610900879,1
2305,11.682999610900879,1
2313,13.774999618530273,1
2314,18.194000244140625,1
2315,18.194000244140625,1
2316,18.194000244140625,1
2317,15.531999588012695,1
2318,12.883999824523926,1
2326,11.682999610900879,1
2327,11.682999610900879,1
2328,11.682999610900879,1
2336,13.774999618530273,1
2337,18.194000244140625,1
2338,18.194000244140625,1
2339,18.194000244140625,1
2340,15.531999588012695,1
2341,12.883999824523926,1
2349,11.682999610900879,1
2350,11.682999610900879,1
2361,16.39900016784668,1
2362,16.39900016784668,1
2363,16.39900016784668,1
2374,12.680999755859375,1
2375,12.680999755859375,1
2383,16.031999588012695,1
2384,16.56100082397461,1
2385,16.56100082397461,1
2386,16.56100082397461,1
2397,12.680999755859375,1
2405,16.22599983215332,1
2406,17.871999740600586,1
2407,17.871999740600586,1
2408,17.871999740600586,1
2409,16.56100082397461,1
2420,12.680999755859375,1
2428,16.22599983215332,1
2429,17.871999740600586,1
2430,17.871999740600586,1
2431,17.871999740600586,1
2432,16.56100082397461,1
2451,16.22599983215332,1
2452,17.871999740600586,1
2453,17.871999740600586,1
2454,17.871999740600586,1
2637,10.36400032043457,1
2638,10.694000244140625,1
2639,10.694000244140625,1
2640,10.694000244140625,1
2648,13.32699966430664,1
2649,16.715999603271484,1
2650,16.715999603271484,1
2651,16.715999603271484,1
2658,13.774999618530273,1
2659,18.194000244140625,1
2660,18.194000244140625,1
2661,18.194000244140625,1
2662,15.531999588012695,1
2663,12.883999824523926,1
2665,9.512999534606934,1
2670,13.968999862670898,1
2671,17.216999053955078,1
2672,17.216999053955078,1
2673,17.216999053955078,1
2674,16.715999603271484,1
2675,13.598999977111816,1
2681,13.774999618530273,1
2682,18.194000244140625,1
2683,18.194000244140625,1
2684,18.194000244140625,1
2685,15.531999588012695,1
2693,13.968999862670898,1
2694,17.216999053955078,1
2695,17.216999053955078,1
2696,17.216999053955078,1
2697,16.715999603271484,1
2698,13.598999977111816,1
2704,13.774999618530273,1
2705,18.194000244140625,1
2706,18.194000244140625,1
2707,18.194000244140625,1
2716,13.968999862670898,1
2717,17.216999053955078,1
2718,17.216999053955078,1
2719,17.216999053955078,1
2720,15.628999710083008,1
2721,13.598999977111816,1
2739,11.937000274658203,1
2740,14.684000015258789,1
2741,14.684000015258789,1
2742,14.684000015258789,1
2743,13.949000358581543,1
2751,16.014999389648438,1
2752,16.014999389648438,1
2753,16.014999389648438,1
2788,13.449000358581543,1
3005,10.10200023651123,1
3006,10.10200023651123,1
3007,10.10200023651123,1
3016,14.550000190734863,1
3017,16.87700080871582,1
3018,16.87700080871582,1
3019,16.87700080871582,1
3026,13.774999618530273,1
3027,13.774999618530273,1
3028,15.531999588012695,1
3029,15.531999588012695,1
3030,15.531999588012695,1
3038,17.124000549316406,1
3039,20.21500015258789,1
3040,20.21500015258789,1
3041,20.21500015258789,1
3042,17.625999450683594,1
3049,13.774999618530273,1
3050,14.156999588012695,1
3051,15.531999588012695,1
3052,15.531999588012695,1
3053,15.531999588012695,1
3061,17.124000549316406,1
3062,20.21500015258789,1
3063,20.21500015258789,1
3064,20.21500015258789,1
3065,17.625999450683594,1
3072,13.774999618530273,1
3073,14.156999588012695,1
3074,15.531999588012695,1
3075,15.531999588012695,1
3084,17.124000549316406,1
3085,20.21500015258789,1
3086,20.21500015258789,1
3087,20.21500015258789,1
3088,17.625999450683594,1
3089,13.598999977111816,1
3096,14.156999588012695,1
3097,14.192000389099121,1
3098,14.192000389099121,1
3107,11.937000274658203,1
3108,15.770999908447266,1
3109,15.843999862670898,1
3110,15.843999862670898,1
3111,15.843999862670898,1
3131,13.383000373840332,1
3132,13.383000373840332,1
3384,15.847000122070312,1
3385,16.87700080871582,1
3386,16.87700080871582,1
3387,16.87700080871582,1
3406,17.124000549316406,1
3407,20.21500015258789,1
3408,20.21500015258789,1
3409,20.21500015258789,1
3410,17.625999450683594,1
3418,14.156999588012695,1
3419,14.192000389099121,1
3420,14.192000389099121,1
3429,17.124000549316406,1
3430,20.21500015258789,1
3431,20.21500015258789,1
3432,20.21500015258789,1
3433,17.625999450683594,1
3441,14.156999588012695,1
3442,14.192000389099121,1
3443,14.192000389099121,1
3452,17.124000549316406,1
3453,20.21500015258789,1
3454,20.21500015258789,1
3455,20.21500015258789,1
3456,17.625999450683594,1
3466,14.192000389099121,1
3476,15.770999908447266,1
3477,15.843999862670898,1
3478,15.843999862670898,1
3479,15.843999862670898,1
3549,13.684000015258789,1
3550,14.04699993133545,1
3551,14.04699993133545,1
3572,13.684000015258789,1
