,scores,cavity
1731,19.02199935913086,1
1732,19.02199935913086,1
1733,19.02199935913086,1
1756,19.02199935913086,1
1757,19.02199935913086,1
1758,19.02199935913086,1
1781,19.02199935913086,1
1782,19.02199935913086,1
1783,19.02199935913086,1
2480,18.600000381469727,1
2481,19.02199935913086,1
2482,19.02199935913086,1
2483,19.02199935913086,1
2505,18.600000381469727,1
2506,19.02199935913086,1
2507,19.02199935913086,1
2508,19.02199935913086,1
2530,18.600000381469727,1
2531,19.02199935913086,1
2532,19.02199935913086,1
2533,19.02199935913086,1
3155,17.667999267578125,1
3156,17.667999267578125,1
3157,17.667999267578125,1
3180,18.70199966430664,1
3181,18.70199966430664,1
3182,18.70199966430664,1
3205,18.70199966430664,1
3206,18.70199966430664,1
3207,18.70199966430664,1
3229,18.8700008392334,1
3230,18.8700008392334,1
3231,19.02199935913086,1
3232,19.02199935913086,1
3233,19.02199935913086,1
3254,18.8700008392334,1
3255,18.8700008392334,1
3256,19.02199935913086,1
3257,19.02199935913086,1
3258,19.02199935913086,1
3279,18.8700008392334,1
3280,18.8700008392334,1
3281,19.02199935913086,1
3282,19.02199935913086,1
3283,19.02199935913086,1
3905,17.667999267578125,1
3906,17.667999267578125,1
3907,17.667999267578125,1
3928,17.4689998626709,1
3929,17.4689998626709,1
3930,18.70199966430664,1
3931,18.70199966430664,1
3932,18.70199966430664,1
3953,18.701000213623047,1
3954,18.701000213623047,1
3955,18.70199966430664,1
3956,18.70199966430664,1
3957,18.70199966430664,1
3978,18.701000213623047,1
3979,18.8700008392334,1
3980,18.8700008392334,1
3981,18.8700008392334,1
3982,18.70199966430664,1
3983,18.05299949645996,1
4003,18.701000213623047,1
4004,18.8700008392334,1
4005,18.8700008392334,1
4006,18.8700008392334,1
4007,18.600000381469727,1
4008,18.05299949645996,1
4029,18.8700008392334,1
4030,18.8700008392334,1
4031,18.8700008392334,1
4032,18.600000381469727,1
4033,18.05299949645996,1
4557,17.746999740600586,1
4558,22.233999252319336,1
4559,22.233999252319336,1
4560,22.233999252319336,1
4582,17.746999740600586,1
4583,22.233999252319336,1
4584,22.233999252319336,1
4585,22.233999252319336,1
4607,17.746999740600586,1
4608,22.233999252319336,1
4609,22.233999252319336,1
4610,22.233999252319336,1
4633,18.490999221801758,1
4634,18.490999221801758,1
4635,18.490999221801758,1
4655,17.667999267578125,1
4656,17.667999267578125,1
4657,17.667999267578125,1
4678,17.4689998626709,1
4679,17.4689998626709,1
4680,18.70199966430664,1
4681,18.70199966430664,1
4682,18.70199966430664,1
4702,17.389999389648438,1
4703,18.701000213623047,1
4704,18.701000213623047,1
4705,18.70199966430664,1
4706,18.70199966430664,1
4707,18.70199966430664,1
4727,17.389999389648438,1
4728,18.701000213623047,1
4729,18.8700008392334,1
4730,18.8700008392334,1
4731,18.8700008392334,1
4732,18.70199966430664,1
4752,17.389999389648438,1
4753,18.701000213623047,1
4754,18.8700008392334,1
4755,18.8700008392334,1
4756,18.8700008392334,1
4757,17.53700065612793,1
4779,18.8700008392334,1
4780,18.8700008392334,1
4781,18.8700008392334,1
4782,17.53700065612793,1
5307,17.746999740600586,1
5308,22.233999252319336,1
5309,22.233999252319336,1
5310,22.233999252319336,1
5332,18.666000366210938,1
5333,22.233999252319336,1
5334,22.233999252319336,1
5335,22.233999252319336,1
5336,17.812000274658203,1
5357,18.666000366210938,1
5358,22.233999252319336,1
5359,22.233999252319336,1
5360,22.233999252319336,1
5361,17.812000274658203,1
5382,18.666000366210938,1
5383,19.183000564575195,1
5384,19.183000564575195,1
5385,19.183000564575195,1
5386,17.812000274658203,1
5407,17.57900047302246,1
5408,18.659000396728516,1
5409,18.659000396728516,1
5410,18.659000396728516,1
5428,17.4689998626709,1
5429,17.4689998626709,1
5430,17.4689998626709,1
5432,17.57900047302246,1
5433,18.659000396728516,1
5434,18.659000396728516,1
5435,18.659000396728516,1
5452,17.389999389648438,1
5453,18.701000213623047,1
5454,18.701000213623047,1
5455,18.701000213623047,1
5456,17.40399932861328,1
5477,17.389999389648438,1
5478,18.701000213623047,1
5479,18.701000213623047,1
5480,18.701000213623047,1
5481,17.40399932861328,1
5502,17.389999389648438,1
5503,18.701000213623047,1
5504,18.701000213623047,1
5505,18.701000213623047,1
5506,17.40399932861328,1
6057,17.746999740600586,1
6058,22.233999252319336,1
6059,22.233999252319336,1
6060,22.233999252319336,1
6082,18.666000366210938,1
6083,22.233999252319336,1
6084,22.233999252319336,1
6085,22.233999252319336,1
6086,17.812000274658203,1
6107,18.666000366210938,1
6108,22.233999252319336,1
6109,22.233999252319336,1
6110,22.233999252319336,1
6111,17.812000274658203,1
6132,18.666000366210938,1
6133,20.041000366210938,1
6134,20.041000366210938,1
6135,20.041000366210938,1
6136,18.732999801635742,1
6157,17.57900047302246,1
6158,20.041000366210938,1
6159,20.041000366210938,1
6160,20.041000366210938,1
6161,18.732999801635742,1
6182,17.57900047302246,1
6183,20.041000366210938,1
6184,20.041000366210938,1
6185,20.041000366210938,1
6186,18.732999801635742,1
6202,17.389999389648438,1
6203,17.389999389648438,1
6204,17.389999389648438,1
6208,17.753000259399414,1
6209,17.753000259399414,1
6210,17.753000259399414,1
6227,17.389999389648438,1
6228,17.389999389648438,1
6229,17.389999389648438,1
6252,17.389999389648438,1
6253,17.389999389648438,1
6254,17.389999389648438,1
6807,17.297000885009766,1
6808,21.472999572753906,1
6809,21.472999572753906,1
6810,21.472999572753906,1
6832,18.666000366210938,1
6833,21.472999572753906,1
6834,21.472999572753906,1
6835,21.472999572753906,1
6836,17.812000274658203,1
6857,18.666000366210938,1
6858,21.472999572753906,1
6859,21.472999572753906,1
6860,21.472999572753906,1
6861,17.812000274658203,1
6882,18.666000366210938,1
6883,20.041000366210938,1
6884,20.041000366210938,1
6885,20.041000366210938,1
6886,18.732999801635742,1
6907,17.57900047302246,1
6908,20.041000366210938,1
6909,20.041000366210938,1
6910,20.041000366210938,1
6911,18.732999801635742,1
6932,17.57900047302246,1
6933,20.041000366210938,1
6934,20.041000366210938,1
6935,20.041000366210938,1
6936,18.732999801635742,1
6958,17.753000259399414,1
6959,17.753000259399414,1
6960,17.753000259399414,1
7607,17.277000427246094,1
7608,18.222000122070312,1
7609,18.222000122070312,1
7610,18.222000122070312,1
7632,17.277000427246094,1
7633,20.041000366210938,1
7634,20.041000366210938,1
7635,20.041000366210938,1
7636,18.732999801635742,1
7657,17.277000427246094,1
7658,20.041000366210938,1
7659,20.041000366210938,1
7660,20.041000366210938,1
7661,18.732999801635742,1
7682,17.242000579833984,1
7683,20.041000366210938,1
7684,20.041000366210938,1
7685,20.041000366210938,1
7686,18.732999801635742,1
7708,17.753000259399414,1
7709,17.753000259399414,1
7710,17.753000259399414,1
8383,17.60300064086914,1
8384,17.60300064086914,1
8385,17.60300064086914,1
8408,17.60300064086914,1
8409,17.60300064086914,1
8410,17.60300064086914,1
8433,17.60300064086914,1
8434,17.60300064086914,1
8435,17.60300064086914,1
8830,17.298999786376953,1
8855,17.84000015258789,1
8856,17.84000015258789,1
8857,17.84000015258789,1
8880,17.84000015258789,1
8881,17.84000015258789,1
8882,17.84000015258789,1
8905,17.84000015258789,1
8906,17.84000015258789,1
8907,17.84000015258789,1
8930,17.261999130249023,1
8931,17.261999130249023,1
8932,17.261999130249023,1
9155,17.792999267578125,1
9156,17.792999267578125,1
9157,17.792999267578125,1
9179,17.29599952697754,1
9180,17.792999267578125,1
9181,17.792999267578125,1
9182,17.792999267578125,1
9204,17.29599952697754,1
9205,17.792999267578125,1
9206,17.792999267578125,1
9207,17.792999267578125,1
9229,17.29599952697754,1
9230,17.29599952697754,1
9231,17.29599952697754,1
9580,17.9060001373291,1
9581,17.9060001373291,1
9605,17.9060001373291,1
9606,17.9060001373291,1
9607,17.9060001373291,1
9630,18.673999786376953,1
9631,18.673999786376953,1
9632,18.673999786376953,1
9655,18.673999786376953,1
9656,18.673999786376953,1
9657,18.673999786376953,1
9680,18.673999786376953,1
9681,18.673999786376953,1
9682,18.673999786376953,1
9905,17.792999267578125,1
9906,17.792999267578125,1
9907,17.792999267578125,1
9929,17.29599952697754,1
9930,17.792999267578125,1
9931,17.792999267578125,1
9932,17.792999267578125,1
9954,17.655000686645508,1
9955,18.704999923706055,1
9956,18.704999923706055,1
9957,18.704999923706055,1
9958,17.440000534057617,1
9979,17.655000686645508,1
9980,18.704999923706055,1
9981,18.704999923706055,1
9982,18.704999923706055,1
9983,17.440000534057617,1
10004,17.655000686645508,1
10005,18.704999923706055,1
10006,18.704999923706055,1
10007,18.704999923706055,1
10144,19.308000564575195,1
10145,19.308000564575195,1
10146,19.308000564575195,1
10168,21.10300064086914,1
10169,21.10300064086914,1
10170,21.10300064086914,1
10171,19.64699935913086,1
10193,21.10300064086914,1
10194,21.10300064086914,1
10195,21.10300064086914,1
10196,19.64699935913086,1
10218,21.10300064086914,1
10219,21.10300064086914,1
10220,21.10300064086914,1
10221,19.64699935913086,1
10222,19.64699935913086,1
10306,17.97599983215332,1
10330,17.9060001373291,1
10331,17.98699951171875,1
10355,17.93400001525879,1
10356,18.009000778198242,1
10357,18.009000778198242,1
10358,18.009000778198242,1
10380,18.673999786376953,1
10381,18.673999786376953,1
10382,18.673999786376953,1
10383,18.009000778198242,1
10405,18.673999786376953,1
10406,18.673999786376953,1
10407,18.673999786376953,1
10408,18.009000778198242,1
10430,18.673999786376953,1
10431,18.673999786376953,1
10432,18.673999786376953,1
10655,17.792999267578125,1
10656,17.792999267578125,1
10657,17.792999267578125,1
10679,17.29599952697754,1
10680,17.792999267578125,1
10681,17.792999267578125,1
10682,17.792999267578125,1
10704,17.655000686645508,1
10705,18.704999923706055,1
10706,18.704999923706055,1
10707,18.704999923706055,1
10708,18.4950008392334,1
10729,17.655000686645508,1
10730,18.704999923706055,1
10731,18.704999923706055,1
10732,18.704999923706055,1
10733,18.4950008392334,1
10754,17.655000686645508,1
10755,18.704999923706055,1
10756,18.704999923706055,1
10757,18.704999923706055,1
10758,18.4950008392334,1
10894,20.636999130249023,1
10895,20.636999130249023,1
10896,20.636999130249023,1
10917,19.5310001373291,1
10918,21.10300064086914,1
10919,21.10300064086914,1
10920,21.10300064086914,1
10921,20.636999130249023,1
10942,20.364999771118164,1
10943,21.10300064086914,1
10944,21.10300064086914,1
10945,21.10300064086914,1
10946,20.636999130249023,1
10967,20.364999771118164,1
10968,21.10300064086914,1
10969,21.10300064086914,1
10970,21.10300064086914,1
10971,19.64699935913086,1
10972,19.64699935913086,1
10992,20.364999771118164,1
10993,20.364999771118164,1
10994,20.364999771118164,1
10995,17.47800064086914,1
11018,17.47800064086914,1
11019,17.47800064086914,1
11020,17.47800064086914,1
11056,17.97599983215332,1
11080,17.9060001373291,1
