,scores,cavity
1365,15.154000282287598,1
1391,15.154000282287598,1
1392,15.154000282287598,1
1393,15.154000282287598,1
1419,15.154000282287598,1
1420,15.154000282287598,1
1421,15.154000282287598,1
1432,15.930000305175781,1
1433,15.930000305175781,1
1434,15.930000305175781,1
1459,17.871000289916992,1
1460,17.871000289916992,1
1461,17.871000289916992,1
1462,15.930000305175781,1
1486,16.44300079345703,1
1487,17.871000289916992,1
1488,17.871000289916992,1
1489,17.871000289916992,1
1490,15.930000305175781,1
1514,16.44300079345703,1
1515,17.871000289916992,1
1516,17.871000289916992,1
1517,17.871000289916992,1
1518,15.305999755859375,1
1542,16.44300079345703,1
1543,16.565000534057617,1
1544,16.565000534057617,1
1545,16.565000534057617,1
1546,15.305999755859375,1
1570,15.35099983215332,1
1571,16.565000534057617,1
1572,16.565000534057617,1
1573,16.565000534057617,1
1952,15.154000282287598,1
1953,15.154000282287598,1
1968,17.156999588012695,1
1969,17.156999588012695,1
1970,17.156999588012695,1
1971,16.426000595092773,1
1979,15.154000282287598,1
1980,15.154000282287598,1
1981,15.154000282287598,1
1992,15.930000305175781,1
1993,15.930000305175781,1
1996,17.156999588012695,1
1997,17.156999588012695,1
1998,17.38800048828125,1
1999,17.488000869750977,1
2000,17.488000869750977,1
2001,17.488000869750977,1
2019,17.871000289916992,1
2020,17.871000289916992,1
2021,17.871000289916992,1
2022,15.930000305175781,1
2024,17.156999588012695,1
2025,17.156999588012695,1
2026,17.38800048828125,1
2027,17.488000869750977,1
2028,17.488000869750977,1
2029,17.488000869750977,1
2046,16.44300079345703,1
2047,19.54599952697754,1
2048,19.54599952697754,1
2049,19.54599952697754,1
2050,18.261999130249023,1
2054,17.38800048828125,1
2055,17.488000869750977,1
2056,17.488000869750977,1
2057,17.488000869750977,1
2074,16.44300079345703,1
2075,21.886999130249023,1
2076,21.886999130249023,1
2077,21.886999130249023,1
2078,19.981000900268555,1
2102,16.44300079345703,1
2103,21.886999130249023,1
2104,21.886999130249023,1
2105,21.886999130249023,1
2106,19.981000900268555,1
2130,15.895000457763672,1
2131,21.886999130249023,1
2132,21.886999130249023,1
2133,21.886999130249023,1
2134,19.981000900268555,1
2159,15.491000175476074,1
2160,18.850000381469727,1
2161,18.850000381469727,1
2162,18.850000381469727,1
2528,17.156999588012695,1
2529,17.156999588012695,1
2530,17.156999588012695,1
2531,16.426000595092773,1
2539,15.154000282287598,1
2540,15.154000282287598,1
2541,15.154000282287598,1
2556,17.156999588012695,1
2557,17.156999588012695,1
2558,17.38800048828125,1
2559,18.28499984741211,1
2560,18.28499984741211,1
2561,18.28499984741211,1
2579,17.871000289916992,1
2580,17.871000289916992,1
2581,17.871000289916992,1
2584,17.156999588012695,1
2585,17.156999588012695,1
2586,17.38800048828125,1
2587,18.28499984741211,1
2588,18.28499984741211,1
2589,18.28499984741211,1
2607,19.683000564575195,1
2608,19.683000564575195,1
2609,19.683000564575195,1
2610,18.261999130249023,1
2611,15.513999938964844,1
2612,15.682000160217285,1
2613,16.621000289916992,1
2614,17.38800048828125,1
2615,18.28499984741211,1
2616,18.28499984741211,1
2617,18.28499984741211,1
2634,18.798999786376953,1
2635,23.58099937438965,1
2636,23.58099937438965,1
2637,23.58099937438965,1
2638,22.695999145507812,1
2639,16.40999984741211,1
2643,17.156999588012695,1
2644,17.156999588012695,1
2645,17.156999588012695,1
2662,18.798999786376953,1
2663,24.865999221801758,1
2664,24.865999221801758,1
2665,24.865999221801758,1
2666,22.695999145507812,1
2667,16.40999984741211,1
2690,18.798999786376953,1
2691,24.865999221801758,1
2692,24.865999221801758,1
2693,24.865999221801758,1
2694,22.695999145507812,1
2695,16.40999984741211,1
2719,24.865999221801758,1
2720,24.865999221801758,1
2721,24.865999221801758,1
2722,18.850000381469727,1
2723,16.229999542236328,1
3088,17.156999588012695,1
3089,17.156999588012695,1
3090,17.156999588012695,1
3116,17.156999588012695,1
3117,17.156999588012695,1
3118,17.38800048828125,1
3119,18.28499984741211,1
3120,18.28499984741211,1
3121,18.28499984741211,1
3139,17.52400016784668,1
3140,17.52400016784668,1
3141,17.52400016784668,1
3144,17.156999588012695,1
3145,17.46500015258789,1
3146,18.464000701904297,1
3147,18.464000701904297,1
3148,18.464000701904297,1
3149,18.28499984741211,1
3167,19.683000564575195,1
3168,19.683000564575195,1
3169,19.683000564575195,1
3170,18.261999130249023,1
3173,17.46500015258789,1
3174,18.464000701904297,1
3175,18.464000701904297,1
3176,18.464000701904297,1
3177,18.28499984741211,1
3194,18.798999786376953,1
3195,24.2549991607666,1
3196,24.2549991607666,1
3197,24.2549991607666,1
3198,22.695999145507812,1
3199,16.40999984741211,1
3201,17.46500015258789,1
3202,18.464000701904297,1
3203,18.464000701904297,1
3204,18.464000701904297,1
3205,17.156999588012695,1
3222,18.798999786376953,1
3223,24.865999221801758,1
3224,24.865999221801758,1
3225,24.865999221801758,1
3226,22.695999145507812,1
3227,17.41200065612793,1
3250,18.798999786376953,1
3251,24.865999221801758,1
3252,24.865999221801758,1
3253,24.865999221801758,1
3254,22.695999145507812,1
3255,17.41200065612793,1
3279,24.865999221801758,1
3280,24.865999221801758,1
3281,24.865999221801758,1
3282,21.445999145507812,1
3283,17.41200065612793,1
3440,15.942000389099121,1
3466,17.68000030517578,1
3467,17.68000030517578,1
3468,17.68000030517578,1
3493,17.722999572753906,1
3494,17.722999572753906,1
3495,17.722999572753906,1
3496,17.68000030517578,1
3521,17.722999572753906,1
3522,17.722999572753906,1
3523,17.722999572753906,1
3524,17.68000030517578,1
3549,17.722999572753906,1
3550,17.722999572753906,1
3551,17.722999572753906,1
3552,16.988000869750977,1
3679,18.28499984741211,1
3680,18.28499984741211,1
3681,18.28499984741211,1
3705,17.46500015258789,1
3706,18.464000701904297,1
3707,18.464000701904297,1
3708,18.464000701904297,1
3709,18.28499984741211,1
3727,19.683000564575195,1
3728,19.683000564575195,1
3729,19.683000564575195,1
3730,18.167999267578125,1
3733,17.46500015258789,1
3734,18.464000701904297,1
3735,18.464000701904297,1
3736,18.464000701904297,1
3737,18.28499984741211,1
3754,18.798999786376953,1
3755,24.2549991607666,1
3756,24.2549991607666,1
3757,24.2549991607666,1
3758,22.695999145507812,1
3760,18.152999877929688,1
3761,18.152999877929688,1
