,scores,cavity
979,18.9440002441,1
980,18.9440002441,1
981,18.9440002441,1
982,18.2460002899,1
983,18.2460002899,1
1008,18.9440002441,1
1009,20.7719993591,1
1010,20.7719993591,1
1011,20.7719993591,1
1012,18.2460002899,1
1037,18.9440002441,1
1038,20.7719993591,1
1039,20.7719993591,1
1040,20.7719993591,1
1067,20.7719993591,1
1068,20.7719993591,1
1069,20.7719993591,1
1298,17.6350002289,1
1299,17.6350002289,1
1300,17.6350002289,1
1325,19.7339992523,1
1326,20.2670001984,1
1327,20.2670001984,1
1328,20.2670001984,1
1329,18.5480003357,1
1354,19.7339992523,1
1355,20.2670001984,1
1356,20.2670001984,1
1357,20.2670001984,1
1358,18.9440002441,1
1359,18.2460002899,1
1360,18.2460002899,1
1383,19.7339992523,1
1384,20.2670001984,1
1385,20.2670001984,1
1386,20.7719993591,1
1387,20.7719993591,1
1388,20.7719993591,1
1389,18.2460002899,1
1414,18.9440002441,1
1415,20.7719993591,1
1416,20.7719993591,1
1417,20.7719993591,1
1418,18.2460002899,1
1444,20.7719993591,1
1445,20.7719993591,1
1446,20.7719993591,1
1597,20.6130008698,1
1626,20.6130008698,1
1655,20.6130008698,1
1673,18.0669994354,1
1674,19.6000003815,1
1675,19.6000003815,1
1676,19.6000003815,1
1677,18.3269996643,1
1702,19.7339992523,1
1703,20.9799995422,1
1704,20.9799995422,1
1705,20.9799995422,1
1706,19.0450000763,1
1731,19.7339992523,1
1732,20.9799995422,1
1733,20.9799995422,1
1734,20.9799995422,1
1735,19.0450000763,1
1736,18.2460002899,1
1737,18.2460002899,1
1760,19.7339992523,1
1761,20.9799995422,1
1762,20.9799995422,1
1763,20.9799995422,1
1764,20.7719993591,1
1765,20.7719993591,1
1766,18.2460002899,1
1791,18.9440002441,1
1792,20.7719993591,1
1793,20.7719993591,1
1794,20.7719993591,1
1795,18.2460002899,1
1821,20.7719993591,1
1822,20.7719993591,1
1823,20.7719993591,1
1824,17.7940006256,1
1974,20.6130008698,1
2003,20.6130008698,1
2032,20.6130008698,1
2051,19.6000003815,1
2052,19.6000003815,1
2053,19.6000003815,1
2054,18.5429992676,1
2079,19.7339992523,1
2080,20.9799995422,1
2081,20.9799995422,1
2082,20.9799995422,1
2083,19.0450000763,1
2108,19.7339992523,1
2109,20.9799995422,1
2110,20.9799995422,1
2111,20.9799995422,1
2112,19.0450000763,1
2137,19.7339992523,1
2138,20.9799995422,1
2139,20.9799995422,1
2140,20.9799995422,1
2141,19.0450000763,1
2351,20.6130008698,1
2352,22.3069992065,1
2380,20.6130008698,1
2381,25.1679992676,1
2382,25.2759990692,1
2383,25.2759990692,1
2384,25.2759990692,1
2409,20.6130008698,1
2410,25.1679992676,1
2411,25.2759990692,1
2412,25.2759990692,1
2413,25.2759990692,1
2428,19.6000003815,1
2429,19.6000003815,1
2430,19.6000003815,1
2431,18.5429992676,1
2439,25.1679992676,1
2440,25.2759990692,1
2441,25.2759990692,1
2442,25.2759990692,1
2456,19.4419994354,1
2457,20.9799995422,1
2458,20.9799995422,1
2459,20.9799995422,1
2460,19.0450000763,1
2468,17.533000946,1
2485,19.4419994354,1
2486,20.9799995422,1
2487,20.9799995422,1
2488,20.9799995422,1
2489,19.0450000763,1
2514,19.4419994354,1
2515,20.9799995422,1
2516,20.9799995422,1
2517,20.9799995422,1
2518,19.0450000763,1
2728,20.0049991608,1
2729,25.1609992981,1
2730,27.3729991913,1
2731,27.3729991913,1
2732,27.3729991913,1
2757,20.0049991608,1
2758,25.1679992676,1
2759,30.1529998779,1
2760,30.1529998779,1
2761,30.1529998779,1
2762,25.4230003357,1
2786,20.0049991608,1
2787,25.1679992676,1
2788,30.1529998779,1
2789,30.1529998779,1
2790,30.1529998779,1
2791,25.4230003357,1
2806,18.5429992676,1
2807,18.5429992676,1
2808,18.5429992676,1
2816,25.1679992676,1
2817,30.1529998779,1
2818,30.1529998779,1
2819,30.1529998779,1
2820,25.4230003357,1
2834,18.736000061,1
2835,18.736000061,1
2836,18.736000061,1
2837,18.5429992676,1
2845,17.533000946,1
2863,18.736000061,1
2864,18.736000061,1
